"unique_id","TEHC_ST"
"29228568412718 101",4
"29228568423218 101",4
"29228568438818 101",4
"29228568438818 102",4
"29228568438818 103",4
"29228568453418 101",4
"29228568453418 102",4
"29228568453418 103",4
"29228568453418 104",4
"29228568453418 105",4
"29228568475118 101",4
"29228568475118 102",4
"29228568478418 101",1
"29228568478418 102",1
"29228568977218 101",24
"29228581451918 101",54
"29228581451918 102",54
"29228581451918 103",54
"29228581451918 104",54
"29228581451918 105",54
"29228581616718 101",24
"29228581624018 101",24
"29228581630118 101",34
"29228581663818 101",34
"29228581663818 102",34
"29228581663818 103",34
"29228581698818 101",34
"29228582813818 101",24
"29228582813818 102",24
"29228582855418 101",24
"29228582855418 102",24
"29228586028418 101",34
"29228586028418 102",34
"29228586028418 103",34
"29228586028418 104",34
"29228586028418 105",34
"29228586028418 106",34
"29228586029718 101",24
"29228586036018 101",44
"29228586036018 102",44
"29228586036018 103",44
"29228586036018 104",44
"29228586048618 101",34
"29228586054518 101",44
"29228586059618 101",24
"29228586059618 102",24
"29228586059618 103",24
"29228586061918 101",44
"29228586061918 102",44
"29228586061918 103",44
"29228586062218 101",24
"29228586063818 101",34
"29228586063818 102",34
"29228586063818 103",34
"29228586063818 104",34
"29228586063818 105",34
"29228586077818 101",34
"29228586077818 102",34
"29228586078818 101",24
"29228586078818 102",24
"29228586078818 103",24
"29228586089418 101",44
"29228586089418 102",44
"29228586093318 101",44
"29228586093318 102",44
"29228586093318 103",44
"29228586093318 104",44
"29228592523318 101",44
"29228592523318 102",44
"29228592536018 101",44
"29228592589418 101",44
"29228592589418 102",44
"29228592589418 103",44
"29228592589418 104",44
"29228593234818 101",34
"29228593234818 102",34
"29228593234818 103",34
"29228593234818 104",34
"29228593258218 101",61
"29228593258218 102",61
"29228593287918 101",34
"29228596705818 101",34
"29228596705818 102",34
"29228596705818 103",34
"29228596709718 101",34
"29228596709718 102",34
"29228596709718 103",34
"29228596709718 104",34
"29228596709718 105",34
"29228596748618 101",34
"29228596748618 102",34
"29228596748618 103",34
"29228596777818 101",34
"29228596777818 102",34
"29228596777818 103",34
"29228596777818 104",34
"29228596796418 101",34
"29228596796418 102",34
"29228596796418 103",34
"29228596796418 104",34
"29228596796418 105",34
"29228596796418 106",34
"29228598845818 101",24
"29228598845818 102",24
"29228598862118 101",54
"29228598862118 102",54
"29228598862118 103",54
"29228598877718 101",54
"29228598877718 102",54
"29228598881418 101",54
"29228598881418 102",54
"29228598888218 101",54
"29228598888218 102",54
"29228598896718 101",24
"29228598896718 102",24
"29228598896718 103",24
"29228598896718 104",24
"29228599508518 101",4
"29228599512018 101",34
"29228599512018 102",34
"29228599512018 103",34
"29228599512018 104",34
"29228599512018 105",34
"29228599512018 106",34
"29228599512718 101",4
"29228599519518 101",4
"29228599519518 102",4
"29228599519518 103",4
"29228599519518 104",4
"29228599531118 101",34
"29228599536518 101",34
"29228599536518 102",34
"29228599536518 103",34
"29228599538818 101",4
"29228599538818 102",4
"29228599538818 103",4
"29228599538818 104",4
"29228599548618 101",34
"29228599548618 102",34
"29228599551818 101",34
"29228599563818 101",34
"29228599596418 101",34
"29228599596418 102",34
"29228599596418 103",34
"29235904606118 101",4
"29235904606118 102",4
"29235904618918 101",4
"29235904618918 102",29
"29235904618918 103",4
"29235904619818 101",6
"29235904619818 102",6
"29235904619818 103",6
"29235906801818 101",4
"29235906801818 102",4
"29235906806118 101",4
"29235906806118 102",4
"29235906818918 101",4
"29235906818918 102",4
"29235906818918 103",4
"29235906818918 104",4
"29235906818918 105",4
"29235906819818 101",4
"29235906867118 101",4
"29235906867118 102",4
"29235927601818 101",61
"29235927601818 102",61
"29235927601818 103",61
"29235927606118 101",4
"29235927606118 102",4
"29235927606118 103",4
"29235927606118 104",4
"29235927616018 101",4
"29235927616018 102",4
"29235927619818 101",4
"29235927619818 102",4
"29235927619818 103",4
"29235927631818 101",4
"29235927631818 102",4
"29235927631818 103",4
"29235927667118 101",4
"29235933418918 101",4
"29235933418918 102",4
"29235933419818 101",4
"29235933419818 102",4
"29235933419818 103",4
"29235933431818 101",4
"29235933431818 102",4
"29235934416018 101",4
"29235934418918 101",4
"29235934419818 101",4
"29235934419818 102",4
"29235934431818 101",4
"29235934431818 102",4
"29235934431818 103",4
"29235934431818 104",4
"29235934467118 101",4
"29235934467118 102",4
"29235934478418 101",4
"29235934478418 102",4
"29235935924618 101",4
"29235935924618 102",4
"29235935924618 103",4
"29235935924618 104",4
"29235935924618 105",4
"29235935951018 101",4
"29235940601818 101",4
"29235940618918 101",4
"29235940618918 102",4
"29235940618918 103",4
"29235940631818 101",4
"29235940801818 101",4
"29235940806118 101",4
"29235940806118 102",4
"29235940806118 103",4
"29235940818918 101",4
"29235940819818 101",4
"29235940819818 102",4
"29235940875118 101",4
"29235940875118 102",4
"29235940878418 101",4
"29235941806118 101",26
"29235941806118 102",26
"29235941806118 103",26
"29235941806118 104",26
"29235941806118 105",26
"29235941819818 101",4
"29235941819818 102",4
"29235941855218 101",4
"29235941855218 102",4
"29235941855218 103",4
"29235941855218 104",4
"29235941875118 101",4
"29235941875118 102",4
"29235941878418 101",4
"29235968401818 101",4
"29235968401818 102",4
"29235968401818 103",4
"29235968406118 101",4
"29235968418918 101",4
"29235968418918 102",4
"29235968418918 103",4
"29235968431818 101",4
"29235968431818 102",4
"29235968431818 103",4
"29235968431818 104",4
"29235968431818 105",4
"29235968467118 101",4
"29235999501818 101",4
"29235999501818 102",4
"29235999501818 103",4
"29235999506118 101",61
"29235999506118 102",61
"29235999506118 103",61
"29235999506118 104",61
"29235999506118 105",61
"29235999516018 101",4
"29235999519818 101",4
"29235999531818 101",4
"29235999578418 101",4
"29235999578418 102",4
"29235999578418 103",4
"29235999578418 104",4
"29235999578418 105",4
"29237945082818 101",24
"29237964181418 101",54
"29237989217218 101",42
"29237989223318 101",44
"29237989254518 101",44
"29237989282818 101",61
"29237989282818 102",24
"29237989282818 103",24
"29241809244418 101",54
"29241809244418 102",54
"29241813624718 101",54
"29241813624718 102",54
"29241813624718 103",54
"29241813624718 104",54
"29241813624718 105",54
"29241813644418 101",54
"29241813644418 102",54
"29241813662618 101",54
"29241813662618 102",54
"29241813662618 103",54
"29241813662618 104",54
"29241813666418 101",54
"29241813669918 101",54
"29241813669918 102",54
"29241813678118 101",54
"29241813684818 101",54
"29241813684818 102",54
"29241855244418 101",54
"29241855244418 102",54
"29241855251918 101",54
"29241855251918 102",54
"29241855262618 101",54
"29241855262618 102",54
"29241855266418 101",54
"29241855266418 102",54
"29241855278118 101",54
"29241855278118 102",54
"29241881607118 101",54
"29241881607118 102",54
"29241881666418 101",54
"29245445082818 101",24
"29255204606118 101",4
"29255204606118 102",4
"29255204623218 101",4
"29255204631818 101",4
"29255204631818 102",4
"29255204675118 101",4
"29255204675118 102",4
"29255206801818 101",4
"29255206801818 102",4
"29255206819818 101",4
"29255206819818 102",4
"29255206819818 103",4
"29255206855218 101",4
"29255206855218 102",4
"29255206855218 103",4
"29255206855218 104",4
"29255206867118 101",4
"29255206867118 102",4
"29255206867118 103",4
"29255206867118 104",4
"29255206867118 105",4
"29255206878418 101",4
"29255206878418 102",4
"29255206878418 103",4
"29255206878418 104",4
"29255227655218 101",35
"29255227655218 102",4
"29255227655218 103",35
"29255227655218 104",35
"29255227655218 105",4
"29255227655218 106",4
"29255227667118 101",4
"29255227667118 102",4
"29255227678418 101",4
"29255227678418 102",4
"29255227678418 103",4
"29255227678418 104",4
"29255227678418 105",4
"29255228550218 101",24
"29255228550218 102",24
"29255228550218 103",24
"29255228550218 104",24
"29255228559618 101",24
"29255228559618 102",24
"29255228559618 103",24
"29255228578818 101",24
"29255228578818 102",24
"29255233416018 101",4
"29255233416018 102",4
"29255233418918 101",4
"29255233418918 102",4
"29255233419818 101",4
"29255233419818 102",4
"29255233419818 103",4
"29255233419818 104",4
"29255233455218 101",4
"29255233455218 102",4
"29255233455218 103",4
"29255234406118 101",4
"29255234406118 102",4
"29255234418918 101",4
"29255234418918 102",4
"29255234418918 103",4
"29255234418918 104",4
"29255234431818 101",4
"29255234431818 102",4
"29255234431818 103",4
"29255234431818 104",4
"29255234445118 101",4
"29255234445118 102",4
"29255234453418 101",4
"29255234453418 102",4
"29255234453418 103",4
"29255234455218 101",4
"29255234467118 101",4
"29255234467118 102",4
"29255234492518 101",4
"29255234492518 102",4
"29255234493518 101",4
"29255240606118 101",4
"29255240606118 102",4
"29255240606118 103",4
"29255240606118 104",4
"29255240606118 105",4
"29255240667118 101",4
"29255240667118 102",4
"29255240675118 101",4
"29255240801818 101",4
"29255240801818 102",4
"29255240801818 103",4
"29255240801818 104",4
"29255240816018 101",4
"29255240819818 101",4
